nome,cpf,conta,saldo
Sr. Vinicius Sales,763.021.895-86,100154,32774.77
Anthony Aragão,835.692.047-74,100155,11500.84
Laís Costa,416.095.387-57,100156,46690.63
Dra. Bianca Costa,420.719.653-61,100157,24491.74
Srta. Alícia da Costa,294.136.570-25,100158,33290.27
Juan Pereira,781.593.406-48,100159,7299.24
Sra. Heloísa da Conceição,648.357.190-93,100160,16877.21
Dr. Breno Freitas,371.245.986-64,100161,19981.92
Ian da Cunha,826.397.051-21,100162,31503.24
Dr. Pedro Henrique Cardoso,735.869.421-09,100163,4581.77
Pedro Lucas Rodrigues,351.972.068-02,100164,10961.61
Bruno Cavalcanti,507.391.428-79,100165,21564.17
Kevin Novaes,520.319.678-86,100166,8907.61
Bárbara Rodrigues,450.127.869-20,100167,10166.69
Thales Vieira,057.461.893-75,100168,22709.65
Sr. Thiago Oliveira,137.895.640-01,100169,30328.65
Lucas Gabriel Nascimento,604.319.258-60,100170,22701.88
Marcela Moraes,953.460.872-65,100171,45315.19
Srta. Maria Fernanda Martins,810.675.392-12,100172,22961.84
Joaquim da Mota,436.510.298-24,100173,34288.46
Brenda Monteiro,432.975.180-14,100174,13161.56
Valentina da Cunha,105.928.364-60,100175,39511.4
Valentina das Neves,954.138.620-24,100176,42975.53
Gabriela Barros,752.061.483-26,100177,46608.51
Leonardo Carvalho,842.096.135-33,100178,17430.16
Eloah Farias,594.708.216-02,100179,48758.17
Stephany Barbosa,429.158.076-20,100180,15038.46
Augusto Cardoso,531.467.298-73,100181,41868.65
Lavínia Araújo,894.236.170-69,100182,45310.46
Henrique Barros,274.065.398-00,100183,48576.96
Júlia Jesus,365.140.792-61,100184,17300.36
Pedro Lucas Pires,057.632.819-77,100185,38339.17
Pedro Miguel Aragão,106.538.974-48,100186,1774.67
Francisco Lopes,809.623.745-47,100187,7767.05
Vitor Hugo Cavalcanti,460.917.235-61,100188,38353.6
Emanuelly Costela,065.784.129-30,100189,14143.7
Letícia da Mata,107.395.246-07,100190,19880.14
Thales Campos,850.924.167-85,100191,39579.96
Miguel Costa,587.429.036-29,100192,31700.99
Milena Cunha,740.296.138-96,100193,10134.89
Daniel Oliveira,154.027.836-08,100194,2589.93
Marcos Vinicius Cavalcanti,590.813.724-32,100195,30834.3
Carolina Oliveira,783.195.420-14,100196,19982.96
Felipe Castro,792.516.308-95,100197,38410.2
Maria Novaes,340.689.725-83,100198,33089.6
Cauã Rodrigues,871.602.493-13,100199,24311.79
Julia Teixeira,469.530.817-75,100200,31938.93
Natália Almeida,148.265.937-91,100201,47368.75
Ian Silva,315.678.294-73,100202,6815.87
Bernardo Jesus,647.189.320-50,100203,8026.72
Danilo da Mata,843.192.750-04,100204,28897.0
João Pereira,983.714.026-78,100205,1156.48
Maria Cecília Souza,718.692.304-69,100206,22519.98
Yuri Monteiro,968.241.703-13,100207,15947.5
Antônio Barros,209.863.145-60,100208,27813.82
Lavínia da Rocha,704.652.893-47,100209,30834.28
Pedro Lucas Mendes,457.263.089-56,100210,19738.62
Antônio Souza,586.170.243-80,100211,27169.22
Samuel Moura,731.294.058-79,100212,34212.63
Ana Julia Dias,261.983.407-40,100213,23790.54
Felipe da Rosa,985.032.164-42,100214,37686.66
Francisco Teixeira,354.019.267-07,100215,23165.53
Dr. Breno Farias,510.287.639-21,100216,2156.58
Dra. Ana Luiza Nogueira,950.627.438-00,100217,8152.25
Sr. Benício Silveira,287.614.350-07,100218,36488.12
Eduarda Pires,308.512.679-12,100219,14174.91
Luiz Miguel da Paz,698.710.452-20,100220,34692.02
Sr. Guilherme da Mata,843.610.295-98,100221,5137.5
Cecília Fernandes,031.648.952-24,100222,42555.45
Olivia Moraes,920.564.317-34,100223,31736.42
Bianca Pires,526.109.743-61,100224,30724.31
Camila Castro,560.741.239-34,100225,17765.6
Milena Almeida,605.139.874-01,100226,11850.56
Milena Moraes,109.576.342-34,100227,33868.08
Lara Alves,728.630.154-35,100228,32303.15
Vicente Rocha,916.023.458-05,100229,38072.54
Lívia Monteiro,734.156.920-43,100230,49560.48
Davi Luiz Azevedo,794.016.358-20,100231,7397.55
Danilo Cardoso,326.174.980-69,100232,12385.72
Catarina Costa,951.840.732-05,100233,16288.34
Daniel Duarte,946.835.170-00,100234,2384.12
Rebeca Castro,923.681.475-19,100235,14458.68
Ana Carolina Almeida,583.947.260-38,100236,17199.7
Dr. Enzo Pereira,085.674.192-20,100237,48458.71
Nicole Pires,417.356.928-91,100238,43999.25
Leonardo Campos,504.671.289-01,100239,10166.78
Isaac da Mota,539.760.418-66,100240,22949.27
Sr. Emanuel Costela,368.197.254-00,100241,30313.04
Evelyn da Luz,145.983.062-89,100242,33675.56
Arthur Alves,249.587.063-56,100243,23974.1
Cauã Mendes,694.502.718-01,100244,44113.82
Theo Cunha,859.270.641-67,100245,37982.77
Renan Rocha,759.642.108-30,100246,8610.45
Felipe Peixoto,036.785.249-74,100247,42619.64
Felipe Jesus,364.501.879-48,100248,46485.01
Luigi Souza,150.673.489-84,100249,14976.94
Bernardo Gomes,150.297.684-67,100250,16576.82
Melissa Nogueira,310.754.928-23,100251,4269.64
Maitê das Neves,576.340.298-74,100252,41721.38
Ana Lívia Moraes,164.730.285-44,100253,23643.63
Lara Barros,209.675.438-00,100254,47207.37
Emanuelly Correia,397.042.651-07,100255,34300.87
Maria Vitória Monteiro,023.841.759-04,100256,32845.44
Nicolas Lopes,457.631.920-52,100257,10724.66
Srta. Luana Novaes,163.874.205-71,100258,578.87
Isabel Barros,681.534.792-37,100259,48450.5
Sr. Enzo Gabriel Castro,631.859.240-70,100260,35428.84
Pedro Henrique Vieira,658.912.740-94,100261,44682.56
Alice da Rocha,701.253.946-16,100262,24607.31
Maria Julia Carvalho,523.476.018-90,100263,32701.64
Bárbara da Costa,689.037.425-83,100264,19756.06
Nina Lima,360.158.427-17,100265,47689.66
Bruna da Rocha,395.470.182-05,100266,8591.01
Laís Campos,586.970.312-30,100267,18591.35
Evelyn Souza,382.497.156-91,100268,46605.01
Joaquim Rocha,107.342.695-52,100269,26438.23
Eloah Araújo,053.697.128-59,100270,31518.19
Dr. Pedro Lucas Duarte,257.036.149-61,100271,23936.22
Luigi Moraes,134.820.795-79,100272,2233.25
Henrique da Rocha,526.039.487-92,100273,28612.74
Joaquim da Luz,783.416.092-31,100274,23064.72
Pedro Lucas da Conceição,578.604.392-47,100275,31060.41
Vitor Gabriel Martins,086.391.472-13,100276,22707.76
Daniel Cavalcanti,205.978.634-74,100277,3030.55
Marcos Vinicius Araújo,108.462.537-71,100278,30488.85
Luiz Miguel Nunes,803.269.471-40,100279,48146.68
Daniela da Costa,514.069.283-05,100280,47343.08
Nicolas Correia,256.987.104-49,100281,9127.6
Luiz Miguel Cardoso,729.013.586-59,100282,7264.88
João Gabriel Silveira,723.186.409-04,100283,39399.05
Cecília Porto,520.361.478-44,100284,13419.47
Emanuella Mendes,480.576.213-62,100285,36796.53
Marcos Vinicius Caldeira,452.681.790-20,100286,36035.14
Alícia Lima,260.734.158-26,100287,19658.65
Anthony Campos,812.034.956-33,100288,36487.7
Davi Lucca Jesus,956.308.147-10,100289,27696.42
Thiago Santos,987.415.326-19,100290,18874.38
Sra. Maria Vitória Ferreira,097.315.628-77,100291,27406.17
Mariane Campos,613.809.247-31,100292,33227.25
Luigi Gomes,713.506.289-21,100293,6166.89
Ana Beatriz Ferreira,351.649.702-52,100294,11661.73
Raquel Teixeira,832.470.916-96,100295,44871.34
Murilo da Luz,674.895.123-28,100296,22136.56
Gabriela Duarte,780.396.542-38,100297,22788.91
Yasmin Jesus,452.683.071-26,100298,26831.28
Sra. Carolina Gomes,057.612.984-49,100299,41354.63
Erick da Paz,980.534.127-50,100300,46312.44
Giovanna Novaes,730.429.685-29,100301,49572.04
Vicente Silva,316.807.924-31,100302,47661.58
Dra. Yasmin Carvalho,495.830.721-41,100303,24212.21
Luna Ferreira,250.647.918-01,100304,49435.03
Lara Almeida,783.241.905-97,100305,8232.16
Felipe Martins,601.985.247-49,100306,32819.4
Enrico Correia,395.862.401-42,100307,48025.68
Sofia da Cunha,019.735.682-68,100308,15968.43
Srta. Isis Teixeira,149.832.750-88,100309,49501.32
Joana Cavalcanti,465.238.719-91,100310,24520.29
Davi Almeida,258.094.173-88,100311,48130.99
Ana Luiza Barros,861.309.275-68,100312,29226.84
Dra. Marcela Campos,542.018.937-23,100313,3542.8
Srta. Nicole Rezende,764.039.258-65,100314,27686.24
Emanuelly Jesus,507.129.634-99,100315,25170.38
Davi Lucas da Costa,947.532.061-06,100316,34439.74
Danilo Oliveira,483.915.607-75,100317,11820.09
Júlia Fernandes,816.573.924-73,100318,3679.87
Ana Julia Barbosa,318.507.496-39,100319,22287.73
Cecília Barros,902.764.351-25,100320,34276.2
Olivia Duarte,012.765.984-67,100321,29927.31
Raul Lopes,618.952.037-59,100322,15710.87
Cauã Costela,018.247.359-79,100323,9355.6
Clara Oliveira,740.518.329-88,100324,39879.17
Lucca Cunha,153.698.740-93,100325,41210.9
Maria Luiza da Paz,364.970.518-48,100326,26384.83
Marcela Campos,768.392.015-03,100327,10000.51
Miguel Pinto,067.938.412-03,100328,12543.41
Lorenzo Pereira,592.346.180-33,100329,25585.17
Paulo da Luz,764.915.803-93,100330,46466.72
Dr. Joaquim Carvalho,534.289.710-60,100331,7792.43
Sr. Guilherme Pires,059.673.248-10,100332,4946.25
Sarah Mendes,287.103.945-32,100333,23427.4
Rafael Porto,395.716.820-12,100334,44499.15
Clarice Nogueira,082.715.649-94,100335,41801.59
João Felipe da Cruz,764.823.150-62,100336,40809.35
Alícia Moreira,520.371.468-17,100337,35333.02
Ana Clara Cardoso,761.495.382-73,100338,37687.66
Nathan Caldeira,896.425.370-10,100339,18710.11
Alexia Pinto,385.271.649-73,100340,3593.18
Pietra Barros,294.105.376-06,100341,3814.82
Maria Fernanda Cavalcanti,243.571.698-28,100342,44575.01
Luiz Henrique Lopes,628.539.701-59,100343,37704.44
Henrique Aragão,341.859.026-89,100344,25419.84
Maria Clara Campos,415.382.907-23,100345,1044.98
João Lucas Pinto,983.564.721-64,100346,18445.51
Isabella Souza,403.126.785-17,100347,30138.69
Pedro Rodrigues,360.548.729-74,100348,47059.22
Marcos Vinicius Duarte,075.649.238-65,100349,28840.84
Ana Viana,321.478.065-44,100350,46616.6
Júlia Costela,651.974.238-46,100351,22532.8
Dra. Caroline Castro,379.140.856-93,100352,3675.51
Dra. Alícia Nascimento,602.948.157-67,100353,18759.54
Vitor Gabriel Ramos,341.657.028-62,100354,42465.13
Caroline Moreira,897.351.420-23,100355,25817.5
Milena Barbosa,602.359.417-43,100356,41643.64
Maria Sophia Dias,560.241.789-30,100357,47373.19
Luiza Pires,352.971.608-12,100358,31330.11
Nathan Dias,758.630.429-74,100359,39749.62
Bárbara Correia,167.438.025-90,100360,24337.96
Bárbara Castro,968.123.570-30,100361,33651.7
Bárbara Porto,687.543.910-75,100362,11287.71
Alana Santos,903.264.875-65,100363,13292.15
Isabella Gomes,534.028.967-29,100364,23803.78
Guilherme Costa,628.190.745-02,100365,15659.43
Ana Lívia Farias,136.820.597-68,100366,34965.45
Rebeca das Neves,693.184.570-57,100367,14260.92
Henrique da Rocha,386.975.024-38,100368,45067.25
Heloísa Nunes,042.596.837-56,100369,1941.06
Benjamin Lima,918.350.462-15,100370,46717.91
Lara da Paz,162.493.807-87,100371,571.56
Maria Fernanda Vieira,497.825.061-76,100372,33764.06
Marcos Vinicius Rezende,631.425.970-34,100373,37526.94
Srta. Sophia Correia,683.192.475-19,100374,34433.82
Srta. Laís Fernandes,592.170.643-43,100375,45087.46
Valentina Fernandes,178.394.026-31,100376,40073.94
Laís Castro,942.360.518-42,100377,21849.17
Ana Luiza Cunha,190.254.637-70,100378,38588.29
Sra. Giovanna Vieira,972.581.630-77,100379,24362.7
Laura Dias,843.076.215-90,100380,3786.0
Yago Almeida,518.407.329-97,100381,46011.39
Maitê Barbosa,956.243.801-51,100382,40241.31
Matheus Ramos,986.501.247-20,100383,11335.6
Maria Fernanda Nascimento,259.874.013-05,100384,25908.74
Enzo Gabriel Barbosa,052.814.736-62,100385,32431.19
Thomas Lopes,682.907.541-67,100386,3014.43
Igor Barros,563.897.124-64,100387,46512.24
Letícia Caldeira,247.650.193-06,100388,16683.44
Fernando Moraes,560.472.938-83,100389,24908.75
Caio da Costa,219.684.703-87,100390,380.75
Marcela Sales,107.593.284-04,100391,31040.21
Larissa Ribeiro,271.536.480-62,100392,1196.04
Matheus Jesus,653.127.409-34,100393,15838.2
Rafael Costa,360.152.479-16,100394,5630.31
Beatriz Gomes,310.859.764-75,100395,39300.6
Dra. Maria Luiza da Rosa,137.489.502-41,100396,15208.21
Sra. Daniela Silveira,167.253.890-40,100397,27649.77
Dra. Alexia Aragão,493.561.078-66,100398,49321.75
Vinicius Cardoso,237.980.165-77,100399,19351.16
Joaquim Jesus,812.503.967-86,100400,3430.82
Heloísa Carvalho,581.027.694-67,100401,27527.0
João Felipe da Cruz,935.647.208-47,100402,40476.0
Francisco Viana,485.016.372-62,100403,614.87
Mariane Melo,495.231.870-23,100404,1250.93
Amanda Freitas,869.341.702-96,100405,36806.93
João Gabriel Fernandes,438.056.219-06,100406,41772.61
Sra. Emanuelly da Costa,245.763.910-70,100407,5538.01
Maria Eduarda Vieira,604.837.952-83,100408,16367.19
Davi Lucca Gonçalves,246.758.019-94,100409,3112.12
Kaique Correia,170.968.524-76,100410,27909.6
Stella Fogaça,073.684.529-10,100411,43508.81
Maria Clara Gonçalves,234.695.187-00,100412,18285.29
Francisco Pinto,527.643.089-65,100413,5260.75
Luiz Otávio Martins,286.795.031-77,100414,29741.65
Lucas Gabriel Freitas,196.782.530-03,100415,25882.89
Srta. Clarice Peixoto,904.317.268-50,100416,10239.07
Ana Laura Cunha,216.793.085-21,100417,29335.16
Dra. Heloísa Nunes,967.128.540-67,100418,7330.2
Diego Ramos,384.175.960-20,100419,19666.56
Arthur Barros,823.617.045-44,100420,45196.86
Bárbara Santos,861.750.239-86,100421,470.47
Vitor Gabriel Jesus,970.361.245-80,100422,2430.72
Ana Lívia Rodrigues,230.457.918-32,100423,1652.86
Bruno Cardoso,721.635.094-43,100424,39228.01
Benício Alves,142.536.780-17,100425,26351.44
Esther Freitas,368.705.249-47,100426,37348.9
Dra. Sophie Mendes,851.690.274-94,100427,2994.01
Vitor Fogaça,435.297.018-23,100428,26593.68
Dr. Augusto das Neves,780.614.239-87,100429,13187.95
Ana Luiza Lima,724.369.051-34,100430,48044.48
Raquel Sales,609.147.253-43,100431,6751.88
Dr. Bernardo Costela,104.932.768-31,100432,30853.92
Rodrigo Castro,350.196.247-99,100433,1889.66
Enzo Gabriel Costela,260.471.859-67,100434,17304.57
Olivia Pereira,935.801.274-97,100435,46798.02
Lucas Gabriel Moraes,602.985.174-85,100436,1820.75
Emanuel Ramos,817.096.324-96,100437,28657.59
Cauã da Cunha,048.125.396-33,100438,26824.1
Evelyn Santos,643.810.527-90,100439,48286.04
Natália Rocha,614.759.802-30,100440,10130.24
Dr. Heitor Azevedo,517.842.903-60,100441,8752.08
Mariane Pinto,498.321.750-97,100442,21075.12
Dr. Samuel Alves,231.596.740-61,100443,28541.31
Daniel Barbosa,903.742.856-83,100444,20577.79
Thiago da Cunha,079.836.415-75,100445,28142.18
Bernardo Oliveira,359.147.026-07,100446,30514.65
João Gabriel Azevedo,126.953.487-46,100447,6487.73
Luiz Gustavo Viana,342.018.975-32,100448,15275.93
Fernanda Duarte,308.765.912-68,100449,6113.19
Caio Costela,972.813.046-50,100450,23284.92
Diogo Peixoto,369.845.021-60,100451,2998.51
Cecília da Luz,738.406.952-10,100452,42580.64
Vicente Gomes,861.372.490-69,100453,36441.83
Laís Fernandes,185.296.347-64,100454,38845.79
Stephany Ramos,836.290.514-05,100455,30433.0
Levi Santos,912.745.038-41,100456,39541.65
Gabriela Moreira,934.086.251-15,100457,48097.07
Emilly Nascimento,834.509.162-89,100458,26043.09
Sophie Cavalcanti,841.732.905-60,100459,11677.04
Maria Vitória Cardoso,457.186.093-57,100460,29094.02
Pedro Henrique Dias,376.950.412-70,100461,4466.84
Agatha Fernandes,654.308.192-98,100462,28693.07
Erick Santos,563.429.107-07,100463,48980.01
Alana Lopes,851.602.347-80,100464,9639.52
Diego Cunha,483.721.905-50,100465,2023.14
Joana da Conceição,420.513.986-15,100466,19151.06
Dr. Enzo Gabriel Novaes,926.185.304-89,100467,44934.19
Maria Clara Nascimento,849.653.710-20,100468,9903.54
Levi da Conceição,637.201.849-78,100469,41439.77
Dra. Caroline Gomes,630.847.915-20,100470,28203.97
Marcos Vinicius da Rosa,506.987.234-65,100471,28263.95
Luigi Carvalho,954.867.302-92,100472,14308.1
João Guilherme Fernandes,351.948.076-00,100473,18928.46
Sra. Esther Silveira,107.569.284-94,100474,12484.25
João Pereira,796.830.241-22,100475,13348.44
Rafaela Novaes,651.470.892-76,100476,42354.4
Stella Dias,647.218.095-49,100477,25156.21
Cauã Correia,573.246.180-90,100478,36344.68
Kevin da Mota,472.516.830-08,100479,6999.62
Giovanna Gonçalves,107.843.695-93,100480,16162.05
Davi Lucas Martins,197.328.540-14,100481,9155.06
Maria Cecília Costela,518.936.074-10,100482,1252.42
Sr. Diogo Rezende,173.905.842-97,100483,18923.01
Dra. Ana Julia Barbosa,128.046.357-08,100484,22267.1
Paulo da Conceição,975.130.462-80,100485,48158.01
Antônio Correia,164.089.523-05,100486,7532.66
Samuel Nunes,536.297.401-70,100487,12725.87
Elisa Azevedo,124.658.970-20,100488,37842.85
Dra. Luiza Cunha,346.820.971-13,100489,26725.25
Bruna Ribeiro,240.169.583-42,100490,22897.54
Daniel Gonçalves,215.964.370-06,100491,3126.01
Lorena Viana,785.960.314-48,100492,23006.33
João Miguel Rodrigues,057.239.864-65,100493,43269.04
Sabrina Vieira,013.472.896-31,100494,48314.39
Diogo Cunha,645.829.073-00,100495,29088.98
Alana Sales,685.710.243-08,100496,7800.33
Marcela Cardoso,601.527.948-67,100497,23494.31
Leandro Caldeira,170.569.243-52,100498,17302.89
Ana Luiza Souza,406.219.857-67,100499,6645.87
Maria Eduarda da Cunha,241.638.579-82,100500,12461.33
Valentina Gonçalves,261.530.798-30,100501,32849.55
Eduarda Rocha,507.291.384-88,100502,33378.83
Laura Viana,850.219.764-94,100503,3624.88
Kevin Cunha,107.638.429-31,100504,32176.96
João Pedro Duarte,960.158.342-42,100505,24613.45
Raul Sales,670.943.258-00,100506,44514.91
Theo Gomes,814.392.750-41,100507,32421.34
Eduardo Melo,387.021.564-07,100508,23843.25
Dra. Laís Melo,783.961.502-30,100509,34495.83
Alexandre Fogaça,784.601.239-87,100510,38637.46
Ana Sophia Peixoto,042.718.693-50,100511,1401.81
Camila Melo,342.850.196-98,100512,26786.97
Lívia Caldeira,615.089.234-42,100513,45985.37
Bárbara Pires,309.521.687-40,100514,42168.36
Noah da Paz,610.297.843-96,100515,1245.27
Sr. Gustavo Henrique Duarte,179.530.862-12,100516,37191.89
Daniel Correia,382.570.641-90,100517,12683.96
Levi Gomes,539.682.710-68,100518,42548.92
Valentina Aragão,023.498.571-23,100519,29290.45
Alexia Martins,964.023.715-99,100520,10384.12
Joaquim Santos,198.642.503-70,100521,26092.28
Maria Mendes,789.260.135-02,100522,7946.61
Dra. Joana Fogaça,253.971.486-28,100523,33601.16
Helena Pereira,473.169.025-07,100524,25617.55
Guilherme Novaes,690.241.537-43,100525,8575.11
Cauê Nascimento,219.506.483-89,100526,9874.53
Caio Cavalcanti,935.084.276-92,100527,38588.32
Juliana Azevedo,605.387.924-00,100528,24045.62
João Vitor Farias,286.975.341-19,100529,21252.75
Dr. Gustavo Alves,832.751.064-90,100530,28677.61
